id;i_d_cargo;i_d_nakladnoy;i_d_gruza;massa;tekushiy_punkt;naznacheniy_punkt;konechniy_punkt;klient;telephone_klienta;dlina_puti;data_pribitiya;data_otpravki;prioritet;vremya_puti;status;opisanie;chrupkiy;otvetstveniy;telephone_otv
1;mobile Fis;77969;Savings Ac;9997;Trace;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;Home Loan Account;706;2022-01-29T07:23:05;2022-01-29T17:11:52;VISOKIY;39986;NOVAYA;Common;true;grey Cambridgeshire;Canyon HDD
2;Table Smal;80839;access Int;68423;infomediaries;Investment Account;Games Regional Digitized;copy convergence;Mayotte;18485;2022-01-29T17:00:00;2022-01-28T18:28:54;VISOKIY;59789;NOVAYA;Tactics;true;compress South Georgia and the South Sandwich Islands;compelling mission-critical
3;bifurcated;16526;Industrial;42340;reinvent 24 hour Jewelery;monitor;1080p Checking Account Identity;Frozen IB;Highway Ergonomic;37081;2022-01-29T10:17:16;2022-01-29T01:41:58;VISOKIY;59129;NOVAYA;Frozen bus;true;Idaho compress Avon;system Small
4;Intelligen;63641;knowledge ;90756;Phased;Saint Lucia white;Generic neutral Salad;Auto Loan Account modular Refined;digital maroon;89255;2022-01-28T20:33:10;2022-01-29T04:48:26;VISOKIY;89609;NOVAYA;withdrawal;false;cutting-edge ability Hat;supply-chains magenta
5;encompassi;24412;Gloves sky;40383;Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;53093;2022-01-29T06:00:17;2022-01-29T07:00:17;VISOKIY;36965;NOVAYA;web-enabled invoice withdrawal;true;Licensed hacking installation;Argentine Peso
6;Kentucky A;51209;Future-pro;69093;synthesize Creative;Forint;Concrete Global SMS;Profound;parsing;55520;2022-01-29T05:21:08;2022-01-29T05:02:24;VISOKIY;9310;NOVAYA;even-keeled Saint Helena Pound;true;SCSI drive THX;Unbranded Cheese Dynamic
7;Alabama tr;94013;Supervisor;30536;Buckinghamshire Ports;Devolved driver Networked;Fish;payment calculating;local area network Benin;50881;2022-01-29T08:55:35;2022-01-29T02:28:46;VISOKIY;58987;NOVAYA;cross-platform Borders;true;Cambridgeshire white sensor;Alaska
8;deposit Ch;95392;Human;37015;Automotive Tactics architectures;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc;57006;2022-01-29T16:03:41;2022-01-29T15:25:09;VISOKIY;99005;NOVAYA;portal calculating Metal;true;France protocol;open-source HDD
9;Sleek Beau;19427;Handcrafte;2761;California interfaces;Garden Dale Wallis and Futuna;generating;Computers Small Fresh Gloves back-end;interface;82786;2022-01-28T23:16:18;2022-01-29T11:14:04;VISOKIY;45726;NOVAYA;Iran;true;deposit panel Strategist;card Licensed Cotton Ball
10;mindshare ;2535;Brand;83598;Saudi Riyal paradigms;Corporate;Enterprise-wide Benin;Tuna Response invoice;alarm Jamaica;61172;2022-01-29T00:13:50;2022-01-29T07:40:52;VISOKIY;35597;NOVAYA;leading-edge;false;Small;JBOD
